name,personal_name,last_modified.value,key,id,revision,bio.value,links.url,links.type.key,links.title,created.value,photos,latest_revision,birth_date,remote_ids.viaf,remote_ids.wikidata,remote_ids.isni,death_date,alternate_names,wikipedia,title,location,entity_type,role,fuller_name,bio
Douglas C. Giancoli,Douglas C. Giancoli,2008-09-11 21:57:30.37884,OL29129A,73745.0,2,,,,,,,,,,,,,,,,,,,,
Meish Goldish,Meish Goldish,2016-04-09T05:41:33.820889,OL384406A,,5,"Meish Goldish (born Tulsa, Oklahoma) is an author of fiction and nonfiction books and poetry. He has written over 300 books, ranging from 8-page and 16-page readers for school children to books over 100 pages long for libraries. One of his biggest-selling books is called 101 Science Poems and Songs for Young Learners. Another big seller is Making Multiplication Easy. Both are published by Scholastic. - Wikipedia",http://www.absolutewrite.com/novels/meish_goldish.htm,/type/link,Absolute Write,2008-04-01T03:28:50.625462,6711542.0,5.0,,,,,,,,,,,,,
Karen Cummings,,2008-04-29 13:35:46.87638,OL2736971A,10363319.0,1,,,,,,,,,,,,,,,,,,,,
Robert Resnick,Robert Resnick,2020-09-30T19:17:18.722051,OL769057A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1923,71474369,Q8214150,0000000081512235,,,,,,,,,
Paul M. Fishbane,Paul M. Fishbane,2008-09-04 16:42:47.678771,OL299888A,792245.0,2,,,,,,,,,,,,,,,,,,,,
Stephen Gasiorowicz,Stephen Gasiorowicz,2008-08-31 08:26:53.184177,OL446054A,1234222.0,2,,,,,,,,,,,,,,,,,,,,
Stephen T. Thornton,Stephen T. Thornton,2008-09-11 13:37:32.279023,OL23589A,60421.0,2,,,,,,,,,,,,,,,,,,,,
Wendy Blaxland,,2011-04-01T01:17:58.691936,OL2802858A,,2,,,,,2008-04-29T15:03:11.581851,6716751.0,2.0,,,,,,,,,,,,,
Dan Morgan,Dan Morgan,2020-09-30T16:53:28.926099,OL4776997A,,3,,http://en.wikipedia.org/wiki/Dan_Morgan_%28writer%29,/type/link,Wikipedia (EN),2008-09-17T17:47:49.472950,,3.0,1925-12-24,2967042,Q5214049,000000006670022X,2011-11-04,"Morgan, Dan",,,,,,,
Dan Morgan,Dan Morgan,2020-09-30T16:53:28.926099,OL4776997A,,3,,Q5214049,/type/link,Wikidata,2008-09-17T17:47:49.472950,,3.0,1925-12-24,2967042,Q5214049,000000006670022X,2011-11-04,"Morgan, Dan",,,,,,,
Dan Morgan,Dan Morgan,2020-09-30T16:53:28.926099,OL4776997A,,3,,https://de.wikipedia.org/wiki/Dan_Morgan_(Schriftsteller),/type/link,Wikipedia (DE),2008-09-17T17:47:49.472950,,3.0,1925-12-24,2967042,Q5214049,000000006670022X,2011-11-04,"Morgan, Dan",,,,,,,
"John H., Jr. Saxon",,2008-04-29 15:03:11.581851,OL2961318A,11393694.0,1,,,,,,,,,,,,,,,,,,,,
H. Bhasin,,2019-12-17T08:32:14.995258,OL7795758A,,1,,,,,2019-12-17T08:32:14.995258,,1.0,,,,,,,,,,,,,
John D. Cutnell,John D. Cutnell,2008-09-04 10:06:20.464307,OL273593A,719209.0,2,,,,,,,,,,,,,,,,,,,,
David M. Beazley,David M. Beazley,2008-09-12 05:09:22.163745,OL35901A,90558.0,2,,,,,,,,,,,,,,,,,,,,
David Halliday,David Halliday,2011-02-04T21:08:10.895869,OL359271A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1916,,,,,HALLIDAY,,,,,,,
David Halliday,David Halliday,2011-02-04T21:08:10.895869,OL359271A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1916,,,,,D. Halliday,,,,,,,
David Halliday,David Halliday,2011-02-04T21:08:10.895869,OL359271A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1916,,,,,D Halliday,,,,,,,
David Halliday,David Halliday,2011-02-04T21:08:10.895869,OL359271A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1916,,,,,"Halliday, David.",,,,,,,
David Halliday,David Halliday,2011-02-04T21:08:10.895869,OL359271A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1916,,,,,D D Halliday,,,,,,,
David Halliday,David Halliday,2011-02-04T21:08:10.895869,OL359271A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1916,,,,,DAVID HALLIDAY,,,,,,,
Paul A. Tipler,Paul Allen Tipler,2018-10-03T15:45:10.977902,OL2789045A,,2,,,,,2008-04-29T15:03:11.581851,,2.0,1933,,,,,Paul Allen Tipler,,,,,,,
Paul A. Tipler,Paul Allen Tipler,2018-10-03T15:45:10.977902,OL2789045A,,2,,,,,2008-04-29T15:03:11.581851,,2.0,1933,,,,,Paul A Tipler,,,,,,,
Gene Mosca,,2008-04-29 15:03:11.581851,OL2789044A,10637543.0,1,,,,,,,,,,,,,,,,,,,,
i clicker,,2008-04-30 06:33:27.187047,OL3012846A,11572549.0,1,,,,,,,,,,,,,,,,,,,,
Tillery,,2008-04-29 13:35:46.87638,OL2638560A,9952765.0,1,,,,,,,,,,,,,,,,,,,,
Ken Perlman,Ken Perlman,2008-09-05 21:52:37.271915,OL1458725A,4957235.0,2,,,,,,,,,,,,,,,,,,,,
Kirkpatric,,2008-04-29 13:35:46.87638,OL2626876A,9908998.0,1,,,,,,,,,,,,,,,,,,,,
Hugh D. Young,Hugh D. Young,2018-06-12T17:38:18.832443,OL32964A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1930,,,,,Hugh D. Youngs,,,,,,,
Hugh D. Young,Hugh D. Young,2018-06-12T17:38:18.832443,OL32964A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1930,,,,,Hugh D. Young,,,,,,,
Hugh D. Young,Hugh D. Young,2018-06-12T17:38:18.832443,OL32964A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1930,,,,,H. D. Young,,,,,,,
Hugh D. Young,Hugh D. Young,2018-06-12T17:38:18.832443,OL32964A,,3,,,,,2008-04-01T03:28:50.625462,,3.0,1930,,,,,Hugh Young,,,,,,,
Don E. Teeter,Don E. Teeter,2012-06-23T13:32:44.416363,OL1958952A,,3,,,,,2008-04-01T03:28:50.625462,7144249.0,3.0,,,,,,,,,,,,,
Eugene Hecht,Eugene Hecht,2008-09-11 18:36:16.066374,OL26640A,67645.0,2,,,,,,,,,,,,,,,,,,,,
Ralph Denyer,Ralph Denyer,2008-08-22 19:29:02.461184,OL841125A,2585492.0,2,,,,,,,,,,,,,,,,,,,,
Chris Coetzee,,2010-04-12T12:42:10.448987,OL3140131A,12090393.0,2,,,,,,5787219.0,2.0,,,,,,,,,,,,,
Charles C. Plummer,Charles C. Plummer,2008-09-02 18:53:25.092893,OL403919A,1106357.0,2,,,,,,,,1937,,,,,,,,,,,,
