publishers,subtitle,source_records,title,notes.value,number_of_pages,isbn_13,covers,created.value,physical_format,full_title,isbn_10,latest_revision,key,last_modified.value,publish_date,revision,identifiers.librarything,languages.key,first_sentence.value,series,lc_classifications,genres,subjects,publish_country,by_statement,oclc_numbers,publish_places,pagination,dewey_decimal_class,lccn,contributions,edition_name,identifiers.goodreads,weight,physical_dimensions,ocaid,description.value,identifiers.amazon,ia_box_id,id,notes,subject_place,ia_loaded_id,local_id,links.url,links.title,copyright_date,uri_descriptions,uris,url,translated_from.key,contributors.role,contributors.name,translation_of,work_title,other_titles,identifiers.overdrive,oclc_number,subject_time,table_of_contents.level,table_of_contents.label,table_of_contents.pagenum,table_of_contents.title,work_titles,location,description
Pearson,Principles with Applications Volume II,amazon:0321733622,Physics,Source title: Physics: Principles with Applications Volume II (Chapters 16-33) (7th Edition),648.0,9780321733627,10307207.0,2020-07-24T01:30:10.471704,paperback,Physics Principles with Applications Volume II,0321733622,2.0,OL28368423M,2020-08-22T14:53:36.939268,"Jul 12, 2013",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearson,Principles with Applications Volume II,bwb:9780321733627,Physics,Source title: Physics: Principles with Applications Volume II (Chapters 16-33) (7th Edition),648.0,9780321733627,10307207.0,2020-07-24T01:30:10.471704,paperback,Physics Principles with Applications Volume II,0321733622,2.0,OL28368423M,2020-08-22T14:53:36.939268,"Jul 12, 2013",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice-Hall,,amazon:0136726003:10:44511791:241395,"Physics, principles with applications",,805.0,9780136726005,,2008-04-29T13:35:46.876380,,,0136726003,4.0,OL7343535M,2010-08-05T19:45:17.996981,1980,4,677439,eng,Physics is the most basic of the sciences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice-Hall,,amazon:0136726003:o-9:477549507:242456,"Physics, principles with applications",,805.0,9780136726005,,2008-04-29T13:35:46.876380,,,0136726003,4.0,OL7343535M,2010-08-05T19:45:17.996981,1980,4,677439,eng,Physics is the most basic of the sciences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearport,the world's longest snake,marc:marc_loc_updates/v37.i31.records.utf8:14258346:728,Reticulated python,Includes bibliographical references and index.,,9781936087303,,2009-08-05T09:35:18.033177,,,1936087308,6.0,OL23643764M,2020-08-28T12:39:00.773380,2010,6,9582259,eng,,More supersized!,QL666.O63 G65 2010,Juvenile literature,Reticulated python -- Juvenile literature,nyu,by Meish Goldish.,428731388,"New York, N.Y",p. cm.,597.96/78,2009030820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearport,the world's longest snake,bwb:9781936087303,Reticulated python,Includes bibliographical references and index.,,9781936087303,,2009-08-05T09:35:18.033177,,,1936087308,6.0,OL23643764M,2020-08-28T12:39:00.773380,2010,6,9582259,eng,,More supersized!,QL666.O63 G65 2010,Juvenile literature,Reticulated python -- Juvenile literature,nyu,by Meish Goldish.,428731388,"New York, N.Y",p. cm.,597.96/78,2009030820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Wiley & Sons Inc,,,Understanding Physics,,1224.0,9780471687498,,,Hardcover,,0471687499,2.0,OL10334385M,2009-12-15T00:47:02.377805,"April 1, 2004",2,,eng,,,,,PHYSICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,amazon:0471345245,Physics,"Includes bibliographical references and index.
Authors' names in reverse order in v. 1 of other editions.
Published in 1962 under title: Physics for students of science and engineering.",1214.0,,4442335.0,2008-04-01T03:28:50.625462,,,0471345245,6.0,OL4759543M,2020-05-16T02:46:28.302583,1966,6,63353,eng,,,QC21.2 .R47 1966,,Physics.,nyu,"David Halliday, Robert Resnick.",,New York,"xxvi, 1214, 110 p. :",530,78106172,"Halliday, David, 1916- joint author.",Combined ed.,4810240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Applied physics & special topics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Applied physics & special topics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Applied physics & special topics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Physics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Physics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Physics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Extended Version (2nd Edition),,"Physics for Scientists and Engineers, Volume I",,619.0,9780132311502,4959051.0,2008-04-30T09:38:13.731961,Hardcover,,013231150X,6.0,OL9294338M,2019-07-30T14:58:48.676015,"November 30, 1995",6,357980,eng,,,,,Science/Mathematics,,,,,,,,,2 edition,930818,3.3 pounds,10.8 x 8.8 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
